,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
10886,39,4,13,0.58,1,0
10887,45,2,73,3.58,1,52
10888,26,1,40,1.78,1,6
10889,55,4,12,0.52,1,0
10890,30,2,6,0.26,3,0
10891,65,1,38,1.69,1,332
10892,26,3,5,0.22,1,31
10893,55,10,3,0.13,1,0
10894,25,1,84,3.64,1,0
10895,28,2,15,0.67,2,0
10896,140,2,10,0.57,1,89
10897,90,2,54,2.4,12,57
10898,150,3,1,0.04,1,0
10899,80,9,2,0.1,1,0
10901,90,2,3,0.27,2,42
10902,81,3,16,0.7,1,0
10903,30,7,4,0.19,1,0
10905,45,3,7,0.31,1,0
10906,200,2,27,1.53,1,15
10907,60,2,2,0.09,1,0
10908,79,3,4,0.21,1,0
10909,30,3,1,0.04,1,0
10910,40,1,1,0.04,1,0
10911,60,3,2,0.09,1,0
10912,40,3,5,0.24,1,0
10913,30,2,5,0.22,2,72
10914,70,2,15,0.71,2,0
10915,37,3,11,0.48,1,0
10916,30,10,2,0.11,1,76
10917,25,180,3,0.15,3,254
10918,50,3,13,0.58,1,0
10919,58,2,1,0.04,1,0
10920,25,2,2,0.09,2,0
10921,43,2,1,0.16,1,0
10922,47,3,3,0.14,1,0
10924,38,2,8,0.35,1,0
10925,40,1,26,1.19,1,304
10926,36,3,36,1.6,1,43
10927,39,14,53,3.01,1,30
10928,90,3,8,0.36,1,0
10929,90,2,18,0.8,1,352
10930,60,1,1,0.04,1,0
10931,19,1,4,0.18,1,0
10932,30,1,2,0.09,1,0
10933,28,3,5,0.22,1,0
10935,29,2,13,0.57,1,0
10936,45,1,3,2.5,1,21
10937,40,2,12,0.53,1,24
10938,25,4,2,0.15,1,0
10939,30,2,2,0.09,1,0
10940,75,4,13,0.59,2,0
10941,55,2,9,0.4,2,0
10943,75,3,4,0.28,1,0
10944,55,2,4,0.18,2,0
10945,50,2,12,0.53,2,0
10946,65,1,2,0.09,1,42
10948,50,2,4,0.18,1,66
10950,20,3,79,3.52,3,4
10951,21,7,1,0.05,1,0
10953,49,2,48,2.13,1,220
10954,20,3,1,0.04,1,0
10955,39,5,1,0.04,1,0
10956,58,14,8,0.36,3,118
10957,85,20,23,1.04,6,23
10958,98,3,45,2.06,1,83
10959,85,2,11,0.49,1,0
10960,34,119,7,0.32,6,185
10963,23,1,57,3.72,1,0
10965,83,3,71,3.18,2,19
10966,30,5,9,0.4,1,0
10967,28,1,7,0.31,1,0
10968,97,2,2,0.14,1,0
10969,37,3,20,0.89,1,68
10970,50,6,1,0.04,2,0
10971,39,2,13,0.74,2,53
10972,85,5,44,1.91,2,319
10973,60,2,47,2.1,1,284
10974,90,5,2,0.09,2,0
10975,32,1,5,0.22,1,0
10976,120,3,3,0.13,1,0
10977,30,1,4,2.4,1,0
10978,23,2,7,0.33,1,0
10979,35,3,1,0.04,1,0
10980,39,4,14,0.62,1,0
10981,55,4,2,0.1,1,0
10982,50,2,7,0.34,1,303
10984,20,3,22,1.04,1,0
10986,85,7,2,0.09,7,303
10987,80,3,3,0.13,1,0
10988,47,3,26,1.19,1,54
